neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
University,1,Low Service,5.0,3.0,1.0,1.0,1.0,5.0,0.5544700105476639,53,1.0,18.5,6555.0,7227.5,0.3429751862885126,0.6160868424706565,43.662696,-79.40413999999998
Little Portugal,1,Low Service,6.0,3.0,0.8333333333333334,1.0,1.0,6.0,0.5563680539002737,56,1.0,13.2,15270.0,17485.0,0.4306638855662086,0.6138995734763444,43.646240000000006,-79.43205
Danforth,1,Low Service,3.0,3.0,0.6666666666666666,1.0,1.0,3.0,1.1867083087261772,42,1.0,12.25,9450.0,8660.0,0.28354305432720006,0.6136208400471955,43.68250333333333,-79.33426666666666
Forest Hill South,1,Low Service,10.0,3.0,1.0,1.0,1.0,10.0,1.3373743275078385,48,0.6,10.25,10733.0,9480.0,0.2712370212724148,0.6118941198212623,43.69403899999999,-79.41526
Markland Wood,1,Low Service,7.0,3.0,0.8571428571428571,1.0,1.0,7.0,1.6772378251044362,29,0.14285714285714285,7.15,10408.0,8352.5,0.20821913878928944,0.6052502044537702,43.63320142857143,-79.56687142857143
Yonge-St. Clair,1,Low Service,4.0,3.0,1.0,1.0,1.0,4.0,0.7214979187475531,29,1.0,11.35,12598.0,11327.5,0.32407607275031236,0.5990261174488549,43.6843025,-79.39725
Playter Estates-Danforth,1,Low Service,5.0,3.0,1.0,1.0,1.0,5.0,0.9521478549256939,65,1.0,12.15,7660.0,7160.0,0.25057628066856386,0.5959757560942159,43.678066,-79.35316000000002
Old East York,1,Low Service,6.0,3.0,0.8333333333333334,1.0,1.0,6.0,0.9255604542109762,85,1.0,10.9,9190.0,8372.5,0.25630232100033545,0.5923103337884315,43.69488333333334,-79.34046666666667
New Toronto,1,Low Service,19.0,2.8947368421052633,0.631578947368421,0.9473684210526315,0.9473684210526315,18.0,0.09390393266917514,70,1.0,20.3,11318.0,10890.0,0.45341208021371404,0.5728287338392819,43.59974,-79.5103894736842
Casa Loma,1,Low Service,21.0,2.9047619047619047,0.8571428571428571,0.9523809523809523,0.9523809523809523,20.0,1.0617783821404045,52,1.0,11.6,11115.0,9762.5,0.29980676424249364,0.5624609570489475,43.68095047619048,-79.40811904761905
Mimico-Queensway,1,Low Service,19.0,2.8947368421052633,0.8421052631578947,0.9473684210526315,0.9473684210526315,18.0,0.1922109098508438,135,0.8947368421052632,15.3,15282.5,11337.0,0.41907847119405517,0.5591096719563411,43.61462631578947,-79.49541578947368
Lawrence Park North,1,Low Service,7.0,3.0,0.7142857142857143,1.0,1.0,7.0,0.3515964848253497,66,1.0,6.15,14618.0,13537.5,0.2779276287716087,0.5561636887887966,43.72795571428572,-79.40255714285715
Woodbine Corridor,1,Low Service,14.0,2.857142857142857,0.8571428571428571,0.9285714285714286,0.9285714285714286,13.0,0.7624908626835422,55,1.0,13.45,12318.0,11890.0,0.3596501303866375,0.5421460672661488,43.676575,-79.31650714285715
Long Branch,1,Low Service,16.0,2.875,0.875,0.9375,0.9375,15.0,0.3970671867492289,41,0.875,14.4,10710.0,10605.0,0.3475793525951316,0.535256603153975,43.591731874999994,-79.53176875
Mount Olive-Silverstone-Jamestown,2,Moderate Service,19.0,2.8947368421052633,0.6842105263157895,0.9473684210526315,0.9473684210526315,18.0,0.930264600638689,114,0.5789473684210527,21.75,32088.0,31370.0,0.8638049607685612,0.6966475068907532,43.74783736842105,-79.58744210526315
Wellington Place,2,Moderate Service,8.0,3.0,1.0,1.0,1.0,8.0,0.8955003790924351,49,0.75,15.25,23510.0,23387.0,0.6009856886034339,0.6730299151392173,43.64498875,-79.39474999999999
South Parkdale,2,Moderate Service,22.0,2.909090909090909,0.7727272727272727,0.9545454545454546,0.9545454545454546,21.0,0.6686508428878769,107,0.9090909090909091,25.35,20578.0,22917.5,0.7304596343939623,0.673000056594254,43.63753636363636,-79.43742727272728
Moss Park,2,Moderate Service,15.0,2.8666666666666667,0.8,0.9333333333333333,0.9333333333333333,14.0,0.7118095695917985,120,1.0,27.6,19975.0,24245.0,0.770628362658447,0.6662107912558729,43.656541333333344,-79.36437333333333
