Name,Type,Address,lat,lon
NORTH TORONTO MEMORIAL ARENA,Community Centre,174 ORCHARD VIEW BLVD,43.70712,-79.4043
SCARBOROUGH ARENA GARDENS,Community Centre,75 BIRCHMOUNT RD,43.69481,-79.262
TED REEVE COMMUNITY ARENA,Community Centre,175 MAIN ST,43.68461,-79.2993
WILLIAM H. BOLTON ARENA,Community Centre,40 ROSSMORE RD,43.67158,-79.4153
ONE YONGE COMMUNITY RECREATION CENTRE,Community Centre,24 Freeland St,43.64349,-79.374
CUMMER PARK COMMUNITY CENTRE,Community Centre,6000 LESLIE ST,43.8001,-79.3713
ARMOUR HEIGHTS COMMUNITY CENTRE,Community Centre,2140 AVENUE RD,43.73945,-79.4219
McGREGOR PARK COMMUNITY CENTRE,Community Centre,2231 LAWRENCE AVE E,43.74764,-79.2802
BIRCHMOUNT COMMUNITY CENTRE,Community Centre,93 BIRCHMOUNT RD,43.69563,-79.2631
JOSEPH J. PICCININNI COMMUNITY RECREATION CENTRE,Community Centre,1369 ST CLAIR AVE W,43.67533,-79.4514
RUNNYMEDE COLLEGIATE INSTITUTE,Community Centre,569 JANE ST,43.66354,-79.4898
BANBURY COMMUNITY CENTRE,Community Centre,120 BANBURY RD,43.74284,-79.3695
BAYCREST ARENA,Community Centre,160 NEPTUNE DR,43.72892,-79.4431
BAYVIEW ARENA,Community Centre,3230 BAYVIEW AVE,43.78794,-79.3937
HOLY FAMILY COMMUNITY CENTRE,Community Centre,141 CLOSE AVE,43.63876,-79.4349
AGINCOURT COMMUNITY RECREATION CENTRE,Community Centre,31 GLEN WATFORD DR,43.78841,-79.2763
ETHENNONNHAWAHSTIHNEN' COMMUNITY RECREATION CENTRE & LIBRARY,Community Centre,100 Ethennonnhawahstihnen' Lane,43.76872,-79.3758
FORD PERFORMANCE CENTRE,Community Centre,400 KIPLING AVE,43.60419,-79.5198
EAST BAYFRONT COMMUNITY RECREATION CENTRE,Community Centre,261 QUEENS QUAY E,43.6453,-79.362
ROUGE VALLEY COMMUNITY RECREATION CENTRE,Community Centre,8450 SHEPPARD AVE E,43.80516,-79.1898
OLD FIRE HALL 30,Community Centre,31 COMMISSIONERS ST,43.64587,-79.3506
FRANKLAND COMMUNITY CENTRE,Community Centre,816 LOGAN AVE,43.67715,-79.3499
WEST ACRES SENIORS CENTRE,Community Centre,65 HINTON RD,43.72534,-79.5718
MILLIKEN PARK COMMUNITY RECREATION CENTRE,Community Centre,4325 MCCOWAN RD,43.82965,-79.2746
ANTIBES COMMUNITY CENTRE,Community Centre,140 ANTIBES DR,43.78116,-79.447
EDGEHILL HOUSE,Community Centre,61 EDGEHILL RD,43.6707,-79.5167
EDENBRIDGE CENTRE,Community Centre,235 EDENBRIDGE DR,43.67747,-79.5109
HARRISON POOL,Community Centre,15 STEPHANIE ST,43.65106,-79.3909
WELLESLEY COMMUNITY CENTRE,Community Centre,495 SHERBOURNE ST,43.66781,-79.3745
MAPLE LEAF COTTAGE,Community Centre,62 LAING ST,43.66321,-79.3273
TORONTO TRACK AND FIELD CENTRE,Community Centre,231 IAN MAC DONALD BLVD,43.77647,-79.5069
AMESBURY COMMUNITY CENTRE,Community Centre,1507 LAWRENCE AVE W,43.70717,-79.4826
THE NEW GENERATION YOUTH RECREATION CENTRE,Community Centre,2694 EGLINTON AVE W,43.69008,-79.477
CHRIS TONKS ARENA,Community Centre,2801 EGLINTON AVE W,43.68772,-79.4789
PHIL WHITE ARENA,Community Centre,443 ARLINGTON AVE,43.69129,-79.4326
HARWOOD HALL,Community Centre,85 CAYUGA AVE,43.67839,-79.4788
LAMBTON ARENA,Community Centre,4100 DUNDAS ST E,43.65654,-79.377
HILLCREST COMMUNITY CENTRE,Community Centre,1339 BATHURST ST,43.67921,-79.4165
AMESBURY SPORTS COMPLEX,Community Centre,155 CULFORD RD,43.70595,-79.4872
FAIRBANK MEMORIAL COMMUNITY CENTRE,Community Centre,2213 DUFFERIN ST,43.69129,-79.448
HERBERT H. CARNEGIE CENTENNIAL CENTRE,Community Centre,580 FINCH AVE W,43.77337,-79.4501
CHALKFARM COMMUNITY RECREATION CENTRE,Community Centre,180 CHALKFARM DR,43.72405,-79.5118
ANCASTER COMMUNITY CENTRE,Community Centre,41 ANCASTER RD,43.73253,-79.4657
EARL BEATTY COMMUNITY CENTRE,Community Centre,455 GLEBEHOLME BLVD,43.68623,-79.3216
CANOE LANDING COMMUNITY RECREATION CENTRE,Community Centre,95 FORT YORK BLVD,43.63948,-79.3963
OAKRIDGE COMMUNITY RECREATION CENTRE,Community Centre,63 PHARMACY AVE,43.69444,-79.2839
PLEASANTVIEW COMMUNITY CENTRE,Community Centre,545 VAN HORNE AVE,43.78701,-79.3367
SCARBOROUGH VILLAGE RECREATION CENTRE,Community Centre,3600 KINGSTON RD,43.74,-79.2168
RODING COMMUNITY CENTRE,Community Centre,600 RODING ST,43.72909,-79.4925
NORTH KIPLING COMMUNITY CENTRE,Community Centre,2 ROWNTREE RD,43.75177,-79.5849
ELMBANK COMMUNITY CENTRE,Community Centre,10 RAMPART RD,43.7348,-79.5887
SENECA VILLAGE COMMUNITY CENTRE,Community Centre,1700 FINCH AVE E,43.79389,-79.3513
YORK CIVIC CENTRE,Civic Centre,2700 EGLINTON AVE W,43.68989,-79.4784
BERNER TRAIL COMMUNITY CENTRE,Community Centre,120 BERNER TRAIL,43.80157,-79.2214
CENTENNIAL RECREATION CENTRE - SCARBOROUGH,Community Centre,1967 ELLESMERE RD,43.77554,-79.2351
DON MILLS CIVITAN ARENA,Community Centre,1030 DON MILLS RD,43.73303,-79.3437
COMMANDER RECREATION CENTRE,Community Centre,140 COMMANDER BLVD,43.79505,-79.2678
DOUGLAS SNOW AQUATIC CENTRE,Community Centre,5100 YONGE ST,43.76727,-79.4149
DOWNSVIEW ARENA,Community Centre,1633 WILSON AVE,43.71983,-79.5128
DRIFTWOOD COMMUNITY RECREATION CENTRE,Community Centre,4401 JANE ST,43.76546,-79.5188
JIMMIE SIMPSON RECREATION CENTRE,Community Centre,870 QUEEN ST E,43.66045,-79.3453
ANGELA JAMES ARENA,Community Centre,165 GRENOBLE DR,43.71321,-79.3276
FLEMINGDON COMMUNITY CENTRE AND PLAYGROUND PARADISE,Community Centre,150 GRENOBLE DR,43.71354,-79.3266
WEST ROUGE COMMUNITY CENTRE,Community Centre,270 ROUGE HILLS DR,43.7921,-79.1251
BURROWS HALL COMMUNITY CENTRE,Community Centre,1081 PROGRESS AVE,43.79406,-79.2344
CEDARBROOK COMMUNITY CENTRE,Community Centre,91 EASTPARK BLVD,43.75565,-79.2274
ELLESMERE COMMUNITY RECREATION CENTRE,Community Centre,20 CANADIAN RD,43.76099,-79.2986
TALL PINES COMMUNITY CENTRE,Community Centre,64 RYLANDER BLVD,43.7985,-79.1522
TAM HEATHER CURLING AND TENNIS CLUB,Community Centre,730 MILITARY TRL,43.79127,-79.1992
JOHN INNES COMMUNITY RECREATION CENTRE,Community Centre,150 SHERBOURNE ST,43.6554,-79.3704
HERON PARK COMMUNITY RECREATION CENTRE,Community Centre,292 MANSE RD,43.76886,-79.1769
GLEN LONG COMMUNITY CENTRE,Community Centre,35 GLEN LONG AVE,43.70863,-79.4558
GORD AND IRENE RISK COMMUNITY RECREATION CENTRE,Community Centre,2650 FINCH AVE W,43.74745,-79.5665
GOULDING COMMUNITY CENTRE,Community Centre,45 GOULDING AVE,43.79091,-79.4221
Ralph Thornton Community Centre,Community Centre,765 Queen St. E,43.6592,-79.3476
GRANDRAVINE COMMUNITY RECREATION CENTRE,Community Centre,23 GRANDRAVINE DR,43.75176,-79.4897
HABITANT ARENA,Community Centre,3383 WESTON RD,43.74702,-79.5402
IRVING W. CHAPLEY COMMUNITY CENTRE,Community Centre,205 WILMINGTON AVE,43.76136,-79.4558
JOHN BOOTH MEMORIAL ARENA,Community Centre,230 GOSFORD BLVD,43.76971,-79.5242
LAWRENCE HEIGHTS COMMUNITY CENTRE,Community Centre,5 REPLIN RD,43.718,-79.4424
MITCHELL FIELD COMMUNITY CENTRE,Community Centre,89 CHURCH AVE,43.77465,-79.4085
L'AMOREAUX TENNIS CENTRE,Community Centre,300 SILVER SPRINGS BLVD,43.80545,-79.305
BROADLANDS COMMUNITY RECREATION CENTRE,Community Centre,19 CASTLEGROVE BLVD,43.74568,-79.3228
MALVERN RECREATION CENTRE,Community Centre,30 SEWELLS RD,43.80858,-79.2164
NORTHWOOD COMMUNITY CENTRE,Community Centre,15 CLUBHOUSE CRT,43.74553,-79.5
TRACE MANES PARK COMMUNITY CENTRE,Community Centre,110 RUMSEY RD,43.70573,-79.3672
DON MONTGOMERY COMMUNITY RECREATION CENTRE,Community Centre,2467 EGLINTON AVE E,43.73267,-79.2617
ORIOLE COMMUNITY RECREATION CENTRE,Community Centre,2975 DON MILLS RD W,43.78181,-79.3513
PELMO PARK COMMUNITY CENTRE,Community Centre,171 PELLATT AVE,43.71427,-79.5195
L'AMOREAUX COMMUNITY RECREATION CENTRE,Community Centre,2000 MCNICOLL AVE,43.81266,-79.3049
LEASIDE MEMORIAL COMMUNITY GARDENS ARENA,Community Centre,1073 Millwood Rd,43.70187,-79.3608
Ourland COMMUNITY CENTRE,Community Centre,18 Ourland Avenue,43.61511,-79.5083
OURLAND Park,Park,36 OURLAND AVE,43.61651,-79.5087
THE ELMS COMMUNITY SCHOOL AND POOL,Community Centre,45 Golfdown Dr,43.72224,-79.5521
NORSEMAN COMMUNITY SCHOOL AND POOL,Community Centre,105 NORSEMAN ST,43.63431,-79.5163
ALBION ARENA,Community Centre,1501 ALBION RD,43.73965,-79.5828
PINE POINT ARENA,Community Centre,15 GRIERSON RD,43.71284,-79.5428
MIMICO ARENA,Community Centre,31 DRUMMOND ST,43.6124,-79.4988
LONG BRANCH ARENA,Community Centre,75 ARCADIAN CIR,43.59179,-79.5278
ISLINGTON SENIORS' CENTRE,Community Centre,4968 DUNDAS ST W,43.64765,-79.5301
FAIRFIELD SENIORS' CENTRE,Community Centre,80 LOTHIAN AVE,43.63969,-79.5193
HORNER AVENUE SENIORS CENTRE,Community Centre,320 HORNER AVE,43.60628,-79.5267
Central Eglinton Community Centre,Community Centre,160 Eglinton Avenue East,43.70804,-79.3937
CENTRAL ARENA,Community Centre,50 MONTGOMERY RD,43.64846,-79.5201
VIEWMOUNT COMMUNITY CENTRE,Community Centre,169 VIEWMOUNT AVE,43.7075,-79.4372
KEELE COMMUNITY CENTRE,Community Centre,181 GLENLAKE AVE,43.65809,-79.4622
MAIN SQUARE COMMUNITY RECREATION CENTRE,Community Centre,245 MAIN ST,43.68735,-79.3002
MASARYK - COWAN COMMUNITY RECREATION CENTRE,Community Centre,220 COWAN AVE,43.64072,-79.4332
MEMORIAL POOL AND HEALTH CLUB,Community Centre,44 MONTGOMERY RD,43.6491,-79.5201
ETOBICOKE OLYMPIUM,Community Centre,590 RATHBURN RD,43.65011,-79.583
ALBION POOL AND HEALTH CLUB,Community Centre,1485 ALBION RD,43.73929,-79.5812
GUS RYDER POOL AND HEALTH CLUB,Community Centre,1 FAUSTINA DR,43.60114,-79.5221
ALDERWOOD POOL,Community Centre,2 ORIANNA DR,43.60191,-79.5474
ROB FORD STADIUM,Community Centre,56 CENTENNIAL PARK RD,43.65612,-79.5859
CENTENNIAL PARK ARENA - ETOBICOKE,Community Centre,156 CENTENNIAL PARK RD,43.65692,-79.5863
NORTH YORK CIVIC CENTRE,Civic Centre,5100 YONGE ST,43.76727,-79.4149
WHITLAM WAREHOUSE,Community Centre,25 WHITLAM AVE,43.60281,-79.5228
MAURICE CODY COMMUNITY CENTRE,Community Centre,181 CLEVELAND ST,43.70489,-79.3783
HUMBERWOOD COMMUNITY CENTRE,Community Centre,850 HUMBERWOOD BLVD,43.72889,-79.6192
DOMENICO DILUCA COMMUNITY RECREATION CENTRE,Community Centre,25 STANLEY RD,43.74245,-79.5158
VICTORIA VILLAGE ARENA,Community Centre,190 BERMONDSEY RD,43.7231,-79.3158
YORK MILLS ARENA,Community Centre,2539 BAYVIEW AVE,43.74761,-79.3835
OAKDALE COMMUNITY CENTRE,Community Centre,350 GRANDRAVINE DR,43.74806,-79.5127
BIRCHMOUNT STADIUM,Community Centre,75 BIRCHMOUNT RD,43.69481,-79.262
CURRAN HALL COMMUNITY CENTRE,Community Centre,277 ORTON PARK RD,43.77743,-79.2108
PLANNED PARENTHOOD TORONTO,Sexual Health Clinic,"36B PRINCE ARTHUR AVE, TORONTO, ON",43.6709,-79.3958
