Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
O'Connor Dr at Gardens Cres,3,,,43.70814,-79.3107,,0,,54,O`Connor Parkview
O'Connor Dr at Glebemount Ave East Side,3,,,43.69902,-79.3232,,0,,58,Old East York
O'Connor Dr at Glenwood Cres,3,,,43.70235,-79.316,,0,,54,O`Connor Parkview
O'Connor Dr at Glenwood Cres West Side,3,,,43.70232,-79.3163,,0,,54,O`Connor Parkview
O'Connor Dr at Hutton Ave,3,,,43.69806,-79.3276,,0,,58,Old East York
O'Connor Dr at Ralston Ave West Side,3,,,43.69823,-79.3276,,0,,58,Old East York
O'Connor Dr at Sandra Rd,3,,,43.70466,-79.3136,,0,,54,O`Connor Parkview
O'Connor Dr at St Clair Ave East,3,,,43.70556,-79.3128,,0,,54,O`Connor Parkview
O'Connor Dr at St Clair Ave East North Side,3,,,43.70587,-79.3123,,0,,54,O`Connor Parkview
O'Connor Dr at Sunrise Ave,3,,,43.71881,-79.3044,,0,,43,Victoria Village
O'Connor Dr at Sunrise Ave,3,,,43.71909,-79.3046,,0,,43,Victoria Village
O'Connor Dr at Taylor Dr,3,,,43.69912,-79.3234,,0,,58,Old East York
O'Connor Dr at Victoria Park Ave,3,,,43.72389,-79.3016,,0,,120,Clairlea-Birchmount
O'Connor Dr at Wakunda Pl,3,,,43.71573,-79.3049,,0,,43,Victoria Village
O'Connor Dr at Wakunda Pl South Side,3,,,43.7158,-79.3051,,0,,54,O`Connor Parkview
O'Connor Dr at Woodbine Ave,3,,,43.69994,-79.3191,,0,,58,Old East York
O'Connor Dr at Woodbine Ave West Side,3,,,43.69997,-79.3196,,0,,58,Old East York
O'Connor Dr at Woodmount Ave,3,,,43.69937,-79.3215,,0,,58,Old East York
O'Connor Dr at Woodvale Cres,3,,,43.69952,-79.3216,,0,,58,Old East York
O'Connor Dr at Yardley Ave,3,,,43.71231,-79.3074,,0,,54,O`Connor Parkview
Pharmacy Ave at Eglinton Ave East,3,,,43.72601,-79.2977,,0,,119,Wexford/Maryvale
Victoria Park Ave at Eglinton Ave East,3,,,43.72409,-79.3022,,0,,120,Clairlea-Birchmount
Victoria Park Ave at Eglinton Ave East North Side,3,,,43.72537,-79.3028,,0,,119,Wexford/Maryvale
109 Industry St,3,,,43.69339,-79.4928,,0,,112,Beechborough-Greenbrook
400 Rockcliffe Blvd - Rockcliffe Middle School,3,,,43.67444,-79.4884,,0,,111,Rockcliffe-Smythe
Black Creek Dr at Eglinton Ave West,3,,,43.68857,-79.4831,,0,,112,Beechborough-Greenbrook
Castleton Ave at Henrietta St,3,,,43.67049,-79.4866,,0,,111,Rockcliffe-Smythe
Eglinton Ave West at Mt Dennis Station,3,,,43.68772,-79.486,,0,,112,Beechborough-Greenbrook
Eglinton Ave West at Weston Rd,3,,,43.68715,-79.4894,,0,,115,Mount Dennis
Henrietta St at Castleton Ave,3,,,43.67032,-79.4862,,0,,111,Rockcliffe-Smythe
Henrietta St at Runnymede Rd,3,,,43.67061,-79.4845,,0,,111,Rockcliffe-Smythe
Industry St at Bertal Rd South Side,3,,,43.69166,-79.4893,,0,,112,Beechborough-Greenbrook
Industry St at Ray Ave,3,,,43.69255,-79.4915,,0,,112,Beechborough-Greenbrook
Industry St at Todd Baylis Blvd,3,,,43.69301,-79.4864,,0,,112,Beechborough-Greenbrook
Keelesdale Rd at Eglinton Ave West,3,,,43.68757,-79.4845,,0,,110,Keelesdale-Eglinton West
Lambton Ave at Cashman Cres (East),3,,,43.68356,-79.487,,0,,115,Mount Dennis
